index,Submercado,Year,Month,Horas,PLD_Sem,PLD_Sombra,Day,Hora_24,PLD_Sem_Medio,PLD_Sombra_Medio,Data
0,NORDESTE,2019,1,372.5,84.75806451612907,64.15114247311756,16.0,12.5,135.78471102150615,120.1031552419356,1-2019
1,NORDESTE,2019,2,337.0,164.23768202080353,248.23074294205028,14.50222882615156,12.485884101040119,274.21064264487666,321.78434621099535,2-2019
2,NORDESTE,2019,3,372.5,154.14677419354965,179.72974462365588,16.0,12.5,166.36917338709665,176.21563508064511,3-2019
3,NORDESTE,2019,4,360.5,42.34999999999946,170.20352777777828,15.5,12.5,111.38018055555601,152.8181388888889,4-2019
4,NORDESTE,2019,5,372.5,50.95096774193495,78.36854838709613,16.0,12.5,93.05801747311837,93.92594422043013,5-2019
5,NORDESTE,2019,6,360.5,78.51955555555554,65.90631944444449,15.5,12.5,78.51955555555554,68.71445486111121,6-2019
6,NORDESTE,2019,7,372.5,177.4866935483858,183.69754032258092,16.0,12.5,181.50153897849384,185.38175403225802,7-2019
7,NORDESTE,2019,8,372.5,211.33032258064435,222.37549731182798,16.0,12.5,224.30981182795702,232.48492607526913,8-2019
8,NORDESTE,2019,9,360.5,218.51522222222178,250.4437222222224,15.5,12.5,219.04469444444553,254.89345486111088,9-2019
9,NORDESTE,2019,10,372.5,273.88870967742076,359.53080645161305,16.0,12.5,273.88870967742076,375.0887936827961,10-2019
10,NORDESTE,2019,11,360.5,317.2846527777773,437.0355277777773,15.5,12.5,317.2846527777773,437.8190902777774,11-2019
11,NORDESTE,2019,12,372.5,227.2972177419369,238.88961021505372,16.0,12.5,227.2972177419369,238.04453293010755,12-2019
12,NORDESTE,2020,1,372.5,327.2217607526916,341.173709677419,16.0,12.5,327.3030645161326,331.8785517473114,1-2020
13,NORDESTE,2020,2,348.5,149.79804597701107,146.0918678160916,15.0,12.5,151.3120294540222,149.49882183908016,2-2020
14,NORDESTE,2020,3,372.5,66.92279569892497,64.68198924731195,16.0,12.5,85.51442204301011,82.38765120967753,3-2020
15,NORDESTE,2020,4,360.5,39.680000000000234,39.680000000000234,15.5,12.5,39.680000000000234,39.680000000000234,4-2020
16,NORDESTE,2020,5,372.5,39.680000000000234,39.680000000000234,16.0,12.5,55.81636424731117,53.661663306451636,5-2020
17,NORDESTE,2020,6,360.5,68.82674999999988,70.89340277777778,15.5,12.5,91.95424999999973,88.79167708333333,6-2020
18,NORDESTE,2020,7,372.5,85.5568951612903,83.0427016129033,16.0,12.5,88.11517137096709,87.60559139784958,7-2020
